EmpID,EmpName,EmpTitle,SalesReg,OrderNum,OrderDate,OrderType,CustType,CustID,CustName,CustState,ProdCategory,ProdNumber,ProdName,Quantity,Price,Discount,OrderTotal,
900018483,Kendra Barnbrook,Senior Sales Associate,S Central East,1103796,"""2022-01-01""",Retail,Individual,4005111,Kennedy Richardson,Missouri,Solar panels,KESP200,K-Eco 200,4,654,0,2616,
900010453,Susan Fetterman,Senior Sales Representative,Central East,1103797,"""2022-01-01""",Retail,Individual,4004616,Alice Bennett,North Carolina,Solar panels,KESP255,K-Eco 250x,2,869,0,1738,
900018483,Kendra Barnbrook,Senior Sales Associate,S Central East,1103802,"""2022-01-01""",Retail,Individual,4004947,Kiera Ramos,Texas,Landscape lighting,KESC100,Security lights,4,65.5,0,262,
900010859,Nick Chen,Sales Representative,S Central East,1103799,"""2022-01-01""",Wholesale,Business,6002850,Nadias Café,Texas,Lightbulbs,KESL094,K-Eco Smart Bulbs 9W dimmable (4-pack),2,29.25,0.05,55.58,
900018483,Kendra Barnbrook,Senior Sales Associate,S Central East,1103803,"""2022-01-01""",Retail,Individual,4005986,Gianna Price,Texas,Landscape lighting,KESC100,Security lights,2,65.5,0,131,
900010836,Constantine Acosta,Senior Sales Representative,Northwest,1103801,"""2022-01-01""",Wholesale,Business,6001427,Mitchell Inc,Washington,Grid Tie Inverters,KIGT013,K-Invert 13K,2,3510,0.15,5967,
900019273,Michelle Tiffany,Sales Representative,Central East,1103804,"""2022-01-01""",Retail,Individual,4005978,Piper Larson,District of Columbia,Landscape lighting,KESC100,Security lights,2,65.5,0,131,
900012746,Becky Seneschal,Senior Sales Representative,N Central East,1103800,"""2022-01-01""",Retail,Individual,4005389,Gaia Reyes,Ohio,Lightbulbs,KESL094,K-Eco Smart Bulbs 9W dimmable (4-pack),3,29.25,0,87.75,
900015105,Sharla Sobie,Sales Representative,Northeast,1103798,"""2022-01-01""",Retail,Individual,4005551,Jesse Perkins,New Jersey,Lightbulbs,KELB094,K-Eco Energy Bulbs 9W (4-pack),1,12.97,0,12.97,
900012281,Logan Augur,Sales Associate I,S Central West,1103806,"""2022-01-02""",Retail,Individual,4005438,Diego Sullivan,Arizona,Solar panels,KESP275,K-Eco 275,1,899.25,0,899.25,
